OldInternal,NewInternal,Kind
aj/f,l1r/aj/C_Attr,TOP_LEVEL
aj/g,l1r/aj/C_AuthLogin,TOP_LEVEL
aj/h,l1r/aj/C_BanClan,TOP_LEVEL
aj/i,l1r/aj/C_BanParty,TOP_LEVEL
aj/j,l1r/aj/C_Blink,TOP_LEVEL
aj/k,l1r/aj/C_Board,TOP_LEVEL
aj/l,l1r/aj/C_BoardDelete,TOP_LEVEL
aj/m,l1r/aj/C_BoardPage,TOP_LEVEL
aj/n,l1r/aj/C_BoardRead,TOP_LEVEL
aj/o,l1r/aj/C_BoardWrite,TOP_LEVEL
aj/p,l1r/aj/C_Buddy,TOP_LEVEL
aj/q,l1r/aj/C_CallUser,TOP_LEVEL
aj/r,l1r/aj/C_ChangeHeading,TOP_LEVEL
aj/s,l1r/aj/C_CharReset,TOP_LEVEL
aj/t,l1r/aj/C_CharcterConfig,TOP_LEVEL
aj/u,l1r/aj/C_Chat,TOP_LEVEL
aj/v,l1r/aj/C_ChatOnOff,TOP_LEVEL
aj/w,l1r/aj/C_ChatParty,TOP_LEVEL
aj/x,l1r/aj/C_ChatWhisper,TOP_LEVEL
aj/y,l1r/aj/C_CheckPK,TOP_LEVEL
aj/z,l1r/aj/C_CreateChar,TOP_LEVEL
ak/a,l1r/ak/L1Commands,TOP_LEVEL
al/a,l1r/al/L1AccountBanKick,TOP_LEVEL
al/aa,l1r/al/L1HpBar,TOP_LEVEL
al/ab,l1r/al/L1InsertSpawn,TOP_LEVEL
al/ac,l1r/al/L1InvGfxId,TOP_LEVEL
al/ad,l1r/al/L1Invisible,TOP_LEVEL
al/ae,l1r/al/L1Kick,TOP_LEVEL
al/af,l1r/al/L1Kill,TOP_LEVEL
al/ag,l1r/al/L1Level,TOP_LEVEL
al/ah,l1r/al/L1LevelPresent,TOP_LEVEL
al/ai,l1r/al/L1Loc,TOP_LEVEL
al/aj,l1r/al/L1MapMove,TOP_LEVEL
al/ak,l1r/al/L1Move,TOP_LEVEL
al/al,l1r/al/L1PartyRecall,TOP_LEVEL
al/am,l1r/al/L1Patrol,TOP_LEVEL
al/an,l1r/al/L1Poly,TOP_LEVEL
al/ao,l1r/al/L1PowerKick,TOP_LEVEL
al/ap,l1r/al/L1Present,TOP_LEVEL
al/aq,l1r/al/L1Recall,TOP_LEVEL
al/ar,l1r/al/L1ReloadTrap,TOP_LEVEL
al/as,l1r/al/L1ResetTrap,TOP_LEVEL
al/at,l1r/al/L1Ress,TOP_LEVEL
al/au,l1r/al/L1SKick,TOP_LEVEL
al/av,l1r/al/L1ShowTrap,TOP_LEVEL
al/aw,l1r/al/L1Shutdown,TOP_LEVEL
al/ax,l1r/al/L1SpawnCmd,TOP_LEVEL
al/ay,l1r/al/L1Speed,TOP_LEVEL
al/az,l1r/al/L1Status,TOP_LEVEL
al/b,l1r/al/L1Action,TOP_LEVEL
al/ba,l1r/al/L1Summon,TOP_LEVEL
al/bb,l1r/al/L1Tile,TOP_LEVEL
al/bc,l1r/al/L1ToPC,TOP_LEVEL
al/bd,l1r/al/L1ToSpawn,TOP_LEVEL
al/be,l1r/al/L1Visible,TOP_LEVEL
al/bf,l1r/al/L1Who,TOP_LEVEL
al/c,l1r/al/L1AddSkill,TOP_LEVEL
al/d,l1r/al/L1Adena,TOP_LEVEL
al/e,l1r/al/L1AllBuff,TOP_LEVEL
al/f,l1r/al/L1BanIp,TOP_LEVEL
al/g,l1r/al/L1Buff,TOP_LEVEL
al/h,l1r/al/L1CastGfx,TOP_LEVEL
al/i,l1r/al/L1ChangeWeather,TOP_LEVEL
al/j,l1r/al/L1Chat,TOP_LEVEL
al/k,l1r/al/L1ChatNG,TOP_LEVEL
al/l,l1r/al/L1CommandExecutor,TOP_LEVEL
al/m,l1r/al/L1CommandHelp,TOP_LEVEL
al/n,l1r/al/L1CreateItem,TOP_LEVEL
al/o,l1r/al/L1CreateItemSet,TOP_LEVEL
al/p,l1r/al/L1DeleteGroundItem,TOP_LEVEL
al/q,l1r/al/L1Describe,TOP_LEVEL
al/r,l1r/al/L1Echo,TOP_LEVEL
al/s,l1r/al/L1Favorite,TOP_LEVEL
al/t,l1r/al/L1FindInvis,TOP_LEVEL
al/u,l1r/al/L1GM,TOP_LEVEL
al/v,l1r/al/L1GMRoom,TOP_LEVEL
al/w,l1r/al/L1GfxId,TOP_LEVEL
al/x,l1r/al/L1GfxInvList,TOP_LEVEL
al/y,l1r/al/L1GfxNpc,TOP_LEVEL
al/z,l1r/al/L1HomeTown,TOP_LEVEL
am/a,l1r/am/BadNamesList,TOP_LEVEL
am/b,l1r/am/ListSprReader__obf_b,TOP_LEVEL
am/c,l1r/am/ListSprReader__obf_c,TOP_LEVEL
am/d,l1r/am/MonsterListReader,TOP_LEVEL
am/d$a,l1r/am/MonsterListReader$a,INNER
am/d$b,l1r/am/MonsterListReader$b,INNER
am/d$c,l1r/am/MonsterListReader$c,INNER
am/d$d,l1r/am/MonsterListReader$d,INNER
an/a,l1r/an/PBMessageALL,TOP_LEVEL
an/a$1,l1r/an/PBMessageALL$1,INNER
an/a$a,l1r/an/PBMessageALL$a,INNER
an/a$a$1,l1r/an/PBMessageALL$a$1,INNER
an/a$a$a,l1r/an/PBMessageALL$a$a,INNER
an/a$b,l1r/an/PBMessageALL$b,INNER
an/a$c,l1r/an/PBMessageALL$c,INNER
an/a$c$1,l1r/an/PBMessageALL$c$1,INNER
an/a$c$a,l1r/an/PBMessageALL$c$a,INNER
an/a$d,l1r/an/PBMessageALL$d,INNER
an/a$e,l1r/an/PBMessageALL$e,INNER
an/a$e$1,l1r/an/PBMessageALL$e$1,INNER
an/a$e$a,l1r/an/PBMessageALL$e$a,INNER
an/a$f,l1r/an/PBMessageALL$f,INNER
an/a$g,l1r/an/PBMessageALL$g,INNER
an/a$g$1,l1r/an/PBMessageALL$g$1,INNER
an/a$g$a,l1r/an/PBMessageALL$g$a,INNER
an/a$h,l1r/an/PBMessageALL$h,INNER
an/a$i,l1r/an/PBMessageALL$i,INNER
an/a$i$1,l1r/an/PBMessageALL$i$1,INNER
an/a$i$a,l1r/an/PBMessageALL$i$a,INNER
an/a$j,l1r/an/PBMessageALL$j,INNER
an/b,l1r/an/PBMessageALL2,TOP_LEVEL
an/b$1,l1r/an/PBMessageALL2$1,INNER
an/b$a,l1r/an/PBMessageALL2$a,INNER
an/b$a$1,l1r/an/PBMessageALL2$a$1,INNER
an/b$a$a,l1r/an/PBMessageALL2$a$a,INNER
an/b$b,l1r/an/PBMessageALL2$b,INNER
an/b$c,l1r/an/PBMessageALL2$c,INNER
an/b$c$1,l1r/an/PBMessageALL2$c$1,INNER
an/b$c$a,l1r/an/PBMessageALL2$c$a,INNER
an/b$d,l1r/an/PBMessageALL2$d,INNER
an/b$e,l1r/an/PBMessageALL2$e,INNER
an/b$e$1,l1r/an/PBMessageALL2$e$1,INNER
an/b$e$a,l1r/an/PBMessageALL2$e$a,INNER
an/b$f,l1r/an/PBMessageALL2$f,INNER
an/b$g,l1r/an/PBMessageALL2$g,INNER
an/b$g$1,l1r/an/PBMessageALL2$g$1,INNER
an/b$g$a,l1r/an/PBMessageALL2$g$a,INNER
an/b$h,l1r/an/PBMessageALL2$h,INNER
an/b$i,l1r/an/PBMessageALL2$i,INNER
an/b$i$1,l1r/an/PBMessageALL2$i$1,INNER
an/b$i$a,l1r/an/PBMessageALL2$i$a,INNER
an/b$j,l1r/an/PBMessageALL2$j,INNER
an/c,l1r/an/PBMessageALL3,TOP_LEVEL
an/c$1,l1r/an/PBMessageALL3$1,INNER
an/c$a,l1r/an/PBMessageALL3$a,INNER
an/c$a$1,l1r/an/PBMessageALL3$a$1,INNER
an/c$a$a,l1r/an/PBMessageALL3$a$a,INNER
an/c$b,l1r/an/PBMessageALL3$b,INNER
an/c$c,l1r/an/PBMessageALL3$c,INNER
an/c$c$1,l1r/an/PBMessageALL3$c$1,INNER
an/c$c$a,l1r/an/PBMessageALL3$c$a,INNER
an/c$d,l1r/an/PBMessageALL3$d,INNER
an/c$e,l1r/an/PBMessageALL3$e,INNER
an/c$e$1,l1r/an/PBMessageALL3$e$1,INNER
an/c$e$a,l1r/an/PBMessageALL3$e$a,INNER
an/c$f,l1r/an/PBMessageALL3$f,INNER
an/c$g,l1r/an/PBMessageALL3$g,INNER
an/c$g$1,l1r/an/PBMessageALL3$g$1,INNER
an/c$g$a,l1r/an/PBMessageALL3$g$a,INNER
an/c$h,l1r/an/PBMessageALL3$h,INNER
an/c$i,l1r/an/PBMessageALL3$i,INNER
an/c$i$1,l1r/an/PBMessageALL3$i$1,INNER
an/c$i$a,l1r/an/PBMessageALL3$i$a,INNER
an/c$j,l1r/an/PBMessageALL3$j,INNER
an/d,l1r/an/PBMessageALL4,TOP_LEVEL
an/d$1,l1r/an/PBMessageALL4$1,INNER
an/d$a,l1r/an/PBMessageALL4$a,INNER
an/d$a$1,l1r/an/PBMessageALL4$a$1,INNER
an/d$a$a,l1r/an/PBMessageALL4$a$a,INNER
an/d$b,l1r/an/PBMessageALL4$b,INNER
an/d$c,l1r/an/PBMessageALL4$c,INNER
an/d$c$1,l1r/an/PBMessageALL4$c$1,INNER
an/d$c$a,l1r/an/PBMessageALL4$c$a,INNER
an/d$d,l1r/an/PBMessageALL4$d,INNER
an/d$e,l1r/an/PBMessageALL4$e,INNER
an/d$e$1,l1r/an/PBMessageALL4$e$1,INNER
an/d$e$a,l1r/an/PBMessageALL4$e$a,INNER
an/d$f,l1r/an/PBMessageALL4$f,INNER
an/d$g,l1r/an/PBMessageALL4$g,INNER
an/d$g$1,l1r/an/PBMessageALL4$g$1,INNER
an/d$g$a,l1r/an/PBMessageALL4$g$a,INNER
an/d$h,l1r/an/PBMessageALL4$h,INNER
an/d$i,l1r/an/PBMessageALL4$i,INNER
an/d$i$1,l1r/an/PBMessageALL4$i$1,INNER
an/d$i$a,l1r/an/PBMessageALL4$i$a,INNER
an/d$j,l1r/an/PBMessageALL4$j,INNER
an/e,l1r/an/PBMessageALL5,TOP_LEVEL
an/e$1,l1r/an/PBMessageALL5$1,INNER
an/e$a,l1r/an/PBMessageALL5$a,INNER
an/e$a$1,l1r/an/PBMessageALL5$a$1,INNER
an/e$a$a,l1r/an/PBMessageALL5$a$a,INNER
an/e$b,l1r/an/PBMessageALL5$b,INNER
an/e$c,l1r/an/PBMessageALL5$c,INNER
an/e$c$1,l1r/an/PBMessageALL5$c$1,INNER
an/e$c$a,l1r/an/PBMessageALL5$c$a,INNER
an/e$d,l1r/an/PBMessageALL5$d,INNER
an/e$e,l1r/an/PBMessageALL5$e,INNER
an/e$e$1,l1r/an/PBMessageALL5$e$1,INNER
an/e$e$a,l1r/an/PBMessageALL5$e$a,INNER
an/e$f,l1r/an/PBMessageALL5$f,INNER
an/e$g,l1r/an/PBMessageALL5$g,INNER
an/e$g$1,l1r/an/PBMessageALL5$g$1,INNER
an/e$g$a,l1r/an/PBMessageALL5$g$a,INNER
an/e$h,l1r/an/PBMessageALL5$h,INNER
an/e$i,l1r/an/PBMessageALL5$i,INNER
an/e$i$1,l1r/an/PBMessageALL5$i$1,INNER
an/e$i$a,l1r/an/PBMessageALL5$i$a,INNER
an/e$j,l1r/an/PBMessageALL5$j,INNER
an/f,l1r/an/PBMessageALL6,TOP_LEVEL
an/f$1,l1r/an/PBMessageALL6$1,INNER
an/f$a,l1r/an/PBMessageALL6$a,INNER
an/f$a$1,l1r/an/PBMessageALL6$a$1,INNER
an/f$a$a,l1r/an/PBMessageALL6$a$a,INNER
an/f$b,l1r/an/PBMessageALL6$b,INNER
an/f$c,l1r/an/PBMessageALL6$c,INNER
an/f$c$1,l1r/an/PBMessageALL6$c$1,INNER
an/f$c$a,l1r/an/PBMessageALL6$c$a,INNER
an/f$d,l1r/an/PBMessageALL6$d,INNER
an/f$e,l1r/an/PBMessageALL6$e,INNER
an/f$e$1,l1r/an/PBMessageALL6$e$1,INNER
an/f$e$a,l1r/an/PBMessageALL6$e$a,INNER
an/f$f,l1r/an/PBMessageALL6$f,INNER
an/f$g,l1r/an/PBMessageALL6$g,INNER
an/f$g$1,l1r/an/PBMessageALL6$g$1,INNER
an/f$g$a,l1r/an/PBMessageALL6$g$a,INNER
an/f$h,l1r/an/PBMessageALL6$h,INNER
an/f$i,l1r/an/PBMessageALL6$i,INNER
an/f$i$1,l1r/an/PBMessageALL6$i$1,INNER
an/f$i$a,l1r/an/PBMessageALL6$i$a,INNER
an/f$j,l1r/an/PBMessageALL6$j,INNER
an/g,l1r/an/PBMessageALL7,TOP_LEVEL
an/g$1,l1r/an/PBMessageALL7$1,INNER
an/g$a,l1r/an/PBMessageALL7$a,INNER
an/g$a$1,l1r/an/PBMessageALL7$a$1,INNER
an/g$a$a,l1r/an/PBMessageALL7$a$a,INNER
an/g$b,l1r/an/PBMessageALL7$b,INNER
an/g$c,l1r/an/PBMessageALL7$c,INNER
an/g$c$1,l1r/an/PBMessageALL7$c$1,INNER
an/g$c$a,l1r/an/PBMessageALL7$c$a,INNER
an/g$d,l1r/an/PBMessageALL7$d,INNER
an/g$e,l1r/an/PBMessageALL7$e,INNER
an/g$e$1,l1r/an/PBMessageALL7$e$1,INNER
an/g$e$a,l1r/an/PBMessageALL7$e$a,INNER
an/g$f,l1r/an/PBMessageALL7$f,INNER
an/g$g,l1r/an/PBMessageALL7$g,INNER
an/g$g$1,l1r/an/PBMessageALL7$g$1,INNER
an/g$g$a,l1r/an/PBMessageALL7$g$a,INNER
an/g$h,l1r/an/PBMessageALL7$h,INNER
an/g$i,l1r/an/PBMessageALL7$i,INNER
an/g$i$1,l1r/an/PBMessageALL7$i$1,INNER
an/g$i$a,l1r/an/PBMessageALL7$i$a,INNER
an/g$j,l1r/an/PBMessageALL7$j,INNER
an/h,l1r/an/PBMessageALL8,TOP_LEVEL
an/h$1,l1r/an/PBMessageALL8$1,INNER
an/h$a,l1r/an/PBMessageALL8$a,INNER
an/h$a$1,l1r/an/PBMessageALL8$a$1,INNER
an/h$a$a,l1r/an/PBMessageALL8$a$a,INNER
an/h$b,l1r/an/PBMessageALL8$b,INNER
an/h$c,l1r/an/PBMessageALL8$c,INNER
an/h$c$1,l1r/an/PBMessageALL8$c$1,INNER
an/h$c$a,l1r/an/PBMessageALL8$c$a,INNER
an/h$d,l1r/an/PBMessageALL8$d,INNER
an/h$e,l1r/an/PBMessageALL8$e,INNER
an/h$e$1,l1r/an/PBMessageALL8$e$1,INNER
an/h$e$a,l1r/an/PBMessageALL8$e$a,INNER
an/h$f,l1r/an/PBMessageALL8$f,INNER
an/h$g,l1r/an/PBMessageALL8$g,INNER
an/h$g$1,l1r/an/PBMessageALL8$g$1,INNER
an/h$g$a,l1r/an/PBMessageALL8$g$a,INNER
an/h$h,l1r/an/PBMessageALL8$h,INNER
an/h$i,l1r/an/PBMessageALL8$i,INNER
an/h$i$1,l1r/an/PBMessageALL8$i$1,INNER
an/h$i$a,l1r/an/PBMessageALL8$i$a,INNER
an/h$j,l1r/an/PBMessageALL8$j,INNER
an/i,l1r/an/PBMessageALL9,TOP_LEVEL
an/i$1,l1r/an/PBMessageALL9$1,INNER
an/i$a,l1r/an/PBMessageALL9$a,INNER
an/i$a$1,l1r/an/PBMessageALL9$a$1,INNER
an/i$a$a,l1r/an/PBMessageALL9$a$a,INNER
an/i$b,l1r/an/PBMessageALL9$b,INNER
an/i$c,l1r/an/PBMessageALL9$c,INNER
an/i$c$1,l1r/an/PBMessageALL9$c$1,INNER
an/i$c$a,l1r/an/PBMessageALL9$c$a,INNER
an/i$d,l1r/an/PBMessageALL9$d,INNER
an/i$e,l1r/an/PBMessageALL9$e,INNER
an/i$e$1,l1r/an/PBMessageALL9$e$1,INNER
an/i$e$a,l1r/an/PBMessageALL9$e$a,INNER
an/i$f,l1r/an/PBMessageALL9$f,INNER
an/i$g,l1r/an/PBMessageALL9$g,INNER
an/i$g$1,l1r/an/PBMessageALL9$g$1,INNER
an/i$g$a,l1r/an/PBMessageALL9$g$a,INNER
an/i$h,l1r/an/PBMessageALL9$h,INNER
ao/a,l1r/ao/AccountTable,TOP_LEVEL
ao/a$1,l1r/ao/AccountTable$1,INNER
ao/aa,l1r/ao/HistoryTable,TOP_LEVEL
ao/ab,l1r/ao/HouseTable,TOP_LEVEL
ao/ac,l1r/ao/HtmlCraftTable,TOP_LEVEL
ao/ac$a,l1r/ao/HtmlCraftTable$a,INNER
ao/ad,l1r/ao/HtmlTable,TOP_LEVEL
ao/ad$a,l1r/ao/HtmlTable$a,INNER
ao/ae,l1r/ao/HtmlTeleportTable,TOP_LEVEL
ao/ae$a,l1r/ao/HtmlTeleportTable$a,INNER
ao/af,l1r/ao/InnTable,TOP_LEVEL
ao/af$a,l1r/ao/InnTable$a,INNER
ao/ag,l1r/ao/IpTable,TOP_LEVEL
ao/ah,l1r/ao/ItemTable,TOP_LEVEL
ao/ai,l1r/ao/LetterTable,TOP_LEVEL
ao/aj,l1r/ao/LightSpawnTable,TOP_LEVEL
ao/ak,l1r/ao/LostPowerItemTable,TOP_LEVEL
ao/al,l1r/ao/LuckyDrawTable,TOP_LEVEL
ao/al$a,l1r/ao/LuckyDrawTable$a,INNER
ao/al$b,l1r/ao/LuckyDrawTable$b,INNER
ao/am,l1r/ao/MagicDollTable,TOP_LEVEL
ao/am$a,l1r/ao/MagicDollTable$a,INNER
ao/an,l1r/ao/MailTable,TOP_LEVEL
ao/ao,l1r/ao/MapsTable,TOP_LEVEL
ao/ap,l1r/ao/MobGroupTable,TOP_LEVEL
ao/ap$a,l1r/ao/MobGroupTable$a,INNER
ao/ap$b,l1r/ao/MobGroupTable$b,INNER
ao/aq,l1r/ao/MobQuestWeekTable,TOP_LEVEL
ao/aq$a,l1r/ao/MobQuestWeekTable$a,INNER
ao/ar,l1r/ao/MobSkillsTable,TOP_LEVEL
ao/ar$a,l1r/ao/MobSkillsTable$a,INNER
ao/ar$b,l1r/ao/MobSkillsTable$b,INNER
ao/as,l1r/ao/NpcChatTable,TOP_LEVEL
ao/at,l1r/ao/NpcSpawnTable,TOP_LEVEL
ao/au,l1r/ao/NpcTable,TOP_LEVEL
ao/av,l1r/ao/PetItemTable,TOP_LEVEL
ao/aw,l1r/ao/PetTable,TOP_LEVEL
ao/ax,l1r/ao/PetTypeTable,TOP_LEVEL
ao/ay,l1r/ao/PolyTable,TOP_LEVEL
ao/az,l1r/ao/QuestNewTable,TOP_LEVEL
ao/b,l1r/ao/AnnounceTable,TOP_LEVEL
ao/ba,l1r/ao/RankingTable,TOP_LEVEL
ao/ba$1,l1r/ao/RankingTable$1,INNER
ao/ba$a,l1r/ao/RankingTable$a,INNER
ao/bb,l1r/ao/ResolventTable,TOP_LEVEL
ao/bb$a,l1r/ao/ResolventTable$a,INNER
ao/bc,l1r/ao/ShopTable,TOP_LEVEL
ao/bc$1,l1r/ao/ShopTable$1,INNER
ao/bd,l1r/ao/ShopWorldTable,TOP_LEVEL
ao/bd$a,l1r/ao/ShopWorldTable$a,INNER
ao/bd$b,l1r/ao/ShopWorldTable$b,INNER
ao/be,l1r/ao/SkillsTable,TOP_LEVEL
ao/bf,l1r/ao/SoulTowerTable,TOP_LEVEL
ao/bf$1,l1r/ao/SoulTowerTable$1,INNER
ao/bf$a,l1r/ao/SoulTowerTable$a,INNER
ao/bg,l1r/ao/SpawnTable,TOP_LEVEL
ao/bg$a,l1r/ao/SpawnTable$a,INNER
ao/bh,l1r/ao/TownTable,TOP_LEVEL
ao/bi,l1r/ao/TrapSpawnTable,TOP_LEVEL
ao/bi$a,l1r/ao/TrapSpawnTable$a,INNER
ao/bj,l1r/ao/TrapTable,TOP_LEVEL
ao/bj$a,l1r/ao/TrapTable$a,INNER
ao/bk,l1r/ao/TreasureBoxTable,TOP_LEVEL
ao/bk$a,l1r/ao/TreasureBoxTable$a,INNER
ao/bk$b,l1r/ao/TreasureBoxTable$b,INNER
ao/bk$b$1,l1r/ao/TreasureBoxTable$b$1,INNER
ao/bl,l1r/ao/WeaponSkillTable,TOP_LEVEL
ao/bl$a,l1r/ao/WeaponSkillTable$a,INNER
ao/c,l1r/ao/ArmorSetTable,TOP_LEVEL
ao/c$a,l1r/ao/ArmorSetTable$a,INNER
ao/d,l1r/ao/BeginnerTable,TOP_LEVEL
ao/d$a,l1r/ao/BeginnerTable$a,INNER
ao/e,l1r/ao/BossSpawnTable,TOP_LEVEL
ao/f,l1r/ao/BuddyTable,TOP_LEVEL
ao/g,l1r/ao/CastleTable,TOP_LEVEL
ao/h,l1r/ao/CharBuffTable,TOP_LEVEL
ao/i,l1r/ao/CharacterConfigTable,TOP_LEVEL
ao/j,l1r/ao/CharacterEquipment,TOP_LEVEL
ao/k,l1r/ao/CharacterGiftTable,TOP_LEVEL
ao/k$a,l1r/ao/CharacterGiftTable$a,INNER
ao/k$b,l1r/ao/CharacterGiftTable$b,INNER
ao/l,l1r/ao/CharacterItemTable,TOP_LEVEL
ao/m,l1r/ao/CharacterMobsTable,TOP_LEVEL
ao/n,l1r/ao/CharacterMobsWeekTable,TOP_LEVEL
ao/o,l1r/ao/CharacterTable,TOP_LEVEL
ao/o$a,l1r/ao/CharacterTable$a,INNER
ao/p,l1r/ao/ClanMembersTable,TOP_LEVEL
ao/q,l1r/ao/ClanTable,TOP_LEVEL
ao/r,l1r/ao/ConfigTable,TOP_LEVEL
ao/s,l1r/ao/CraftListTable,TOP_LEVEL
ao/t,l1r/ao/DoorTable,TOP_LEVEL
ao/u,l1r/ao/DropMapTable,TOP_LEVEL
ao/u$a,l1r/ao/DropMapTable$a,INNER
ao/u$b,l1r/ao/DropMapTable$b,INNER
ao/v,l1r/ao/DropTable,TOP_LEVEL
ao/w,l1r/ao/ExpTable,TOP_LEVEL
ao/x,l1r/ao/FieldSpawnTable,TOP_LEVEL
ao/y,l1r/ao/FurnitureSpawnTable,TOP_LEVEL
ao/z,l1r/ao/GetBackRestartTable,TOP_LEVEL
ao/z$a,l1r/ao/GetBackRestartTable$a,INNER
ap/a,l1r/ap/L1AttackerInstance,TOP_LEVEL
ap/aa,l1r/ap/L1TowerInstance,TOP_LEVEL
ap/aa$a,l1r/ap/L1TowerInstance$a,INNER
ap/ab,l1r/ap/L1TrapInstance,TOP_LEVEL
