"ObfuscatedClass","SourceFile","Package","Category","IdentityConfidence"
"aj.bl","C_NpcTalk.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.bm","C_Party.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.bn","C_PetMenu.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.bo","C_PickUpItem.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.bp","C_Pledge.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.bq","C_PledgeWatch.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.br","C_Propose.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.bs","C_ProtoBuffers.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.bt","C_Rank.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.bu","C_ReadNews.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.bv","C_Restart.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.bw","C_RestartDead.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.bx","C_Result.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.by","C_SelectTarget.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.bz","C_SendLocation.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.ca","C_ServerVersion.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.cb","C_Shop.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.cc","C_ShopList.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.cd","C_ShopWorld.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.ce","C_SkillBuy.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.cf","C_SkillBuyItem.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.cg","C_SkillBuyItemOK.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.ch","C_SkillBuyOK.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.ci","C_TaxRate.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.cj","C_Teleport.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.ck","C_TeleportUser.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.cl","C_Title.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.cm","C_Trade.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.cn","C_TradeAddItem.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.co","C_TradeCancel.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.cp","C_TradeOK.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.cq","C_UsePetItem.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.cr","C_UseSkill.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.cs","C_War.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.ct","C_WarePassword.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.cu","C_Who.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"aj.cv","ClientBasePacket.java","aj","CLIENT_PACKET","SOURCEFILE_CONFIRMED"
"ak.a","L1Commands.java","ak","COMMAND_ROUTER","SOURCEFILE_CONFIRMED"
"al.a","L1AccountBanKick.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.b","L1Action.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.c","L1AddSkill.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.d","L1Adena.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.e","L1AllBuff.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.f","L1BanIp.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.g","L1Buff.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.h","L1CastGfx.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.i","L1ChangeWeather.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.j","L1Chat.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.k","L1ChatNG.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.l","L1CommandExecutor.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.m","L1CommandHelp.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.n","L1CreateItem.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.o","L1CreateItemSet.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.p","L1DeleteGroundItem.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.q","L1Describe.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.r","L1Echo.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.s","L1Favorite.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.t","L1FindInvis.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.u","L1GM.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.v","L1GMRoom.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.w","L1GfxId.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.x","L1GfxInvList.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.y","L1GfxNpc.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.z","L1HomeTown.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.aa","L1HpBar.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.ab","L1InsertSpawn.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.ac","L1InvGfxId.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.ad","L1Invisible.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.ae","L1Kick.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.af","L1Kill.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.ag","L1Level.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.ah","L1LevelPresent.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.ai","L1Loc.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.aj","L1MapMove.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.ak","L1Move.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.al","L1PartyRecall.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.am","L1Patrol.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.an","L1Poly.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.ao","L1PowerKick.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.ap","L1Present.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.aq","L1Recall.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.ar","L1ReloadTrap.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.as","L1ResetTrap.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.at","L1Ress.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.au","L1SKick.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.av","L1ShowTrap.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.aw","L1Shutdown.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.ax","L1SpawnCmd.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.ay","L1Speed.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.az","L1Status.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.ba","L1Summon.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.bb","L1Tile.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.bc","L1ToPC.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.bd","L1ToSpawn.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.be","L1Visible.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"al.bf","L1Who.java","al","GM_COMMAND","SOURCEFILE_CONFIRMED"
"am.a","BadNamesList.java","am","DATA_READER","SOURCEFILE_CONFIRMED"
"am.b","ListSprReader.java","am","DATA_READER","SOURCEFILE_CONFIRMED"
"am.c","ListSprReader.java","am","DATA_READER","SOURCEFILE_CONFIRMED"
"am.d","MonsterListReader.java","am","DATA_READER","SOURCEFILE_CONFIRMED"
"an.a","PBMessageALL.java","an","PROTO_MESSAGE","SOURCEFILE_CONFIRMED"
"an.b","PBMessageALL2.java","an","PROTO_MESSAGE","SOURCEFILE_CONFIRMED"
"an.c","PBMessageALL3.java","an","PROTO_MESSAGE","SOURCEFILE_CONFIRMED"
"an.d","PBMessageALL4.java","an","PROTO_MESSAGE","SOURCEFILE_CONFIRMED"
"an.e","PBMessageALL5.java","an","PROTO_MESSAGE","SOURCEFILE_CONFIRMED"
"an.f","PBMessageALL6.java","an","PROTO_MESSAGE","SOURCEFILE_CONFIRMED"
"an.g","PBMessageALL7.java","an","PROTO_MESSAGE","SOURCEFILE_CONFIRMED"
"an.h","PBMessageALL8.java","an","PROTO_MESSAGE","SOURCEFILE_CONFIRMED"
"an.i","PBMessageALL9.java","an","PROTO_MESSAGE","SOURCEFILE_CONFIRMED"
"ao.a","AccountTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.b","AnnounceTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.c","ArmorSetTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.d","BeginnerTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.e","BossSpawnTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.f","BuddyTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.g","CastleTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.h","CharBuffTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.i","CharacterConfigTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.j","CharacterEquipment.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.k","CharacterGiftTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.l","CharacterItemTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.m","CharacterMobsTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.n","CharacterMobsWeekTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.o","CharacterTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.p","ClanMembersTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.q","ClanTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.r","ConfigTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.s","CraftListTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.t","DoorTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.u","DropMapTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.v","DropTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.w","ExpTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.x","FieldSpawnTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.y","FurnitureSpawnTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.z","GetBackRestartTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.aa","HistoryTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.ab","HouseTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.ac","HtmlCraftTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.ad","HtmlTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.ae","HtmlTeleportTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.af","InnTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.ag","IpTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.ah","ItemTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.ai","LetterTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.aj","LightSpawnTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.ak","LostPowerItemTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.al","LuckyDrawTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.am","MagicDollTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.an","MailTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.ao","MapsTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.ap","MobGroupTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.aq","MobQuestWeekTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.ar","MobSkillsTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.as","NpcChatTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.at","NpcSpawnTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.au","NpcTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.av","PetItemTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.aw","PetTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.ax","PetTypeTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.ay","PolyTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.az","QuestNewTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.ba","RankingTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.bb","ResolventTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.bc","ShopTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.bd","ShopWorldTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.be","SkillsTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.bf","SoulTowerTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.bg","SpawnTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.bh","TownTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.bi","TrapSpawnTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.bj","TrapTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.bk","TreasureBoxTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ao.bl","WeaponSkillTable.java","ao","DATATABLE","SOURCEFILE_CONFIRMED"
"ap.a","L1AttackerInstance.java","ap","INSTANCE","SOURCEFILE_CONFIRMED"
"ap.b","L1AuctionBoardInstance.java","ap","INSTANCE","SOURCEFILE_CONFIRMED"
"ap.c","L1BoardInstance.java","ap","INSTANCE","SOURCEFILE_CONFIRMED"
"ap.d","L1CrownInstance.java","ap","INSTANCE","SOURCEFILE_CONFIRMED"
"ap.e","L1DollInstance.java","ap","INSTANCE","SOURCEFILE_CONFIRMED"
"ap.f","L1DoorInstance.java","ap","INSTANCE","SOURCEFILE_CONFIRMED"
"ap.g","L1DotaInstance.java","ap","INSTANCE","SOURCEFILE_CONFIRMED"
"ap.h","L1EffectInstance.java","ap","INSTANCE","SOURCEFILE_CONFIRMED"
"ap.i","L1FieldObjectInstance.java","ap","INSTANCE","SOURCEFILE_CONFIRMED"
"ap.j","L1FishInstance.java","ap","INSTANCE","SOURCEFILE_CONFIRMED"
"ap.k","L1FollowerInstance.java","ap","INSTANCE","SOURCEFILE_CONFIRMED"
"ap.l","L1FurnitureInstance.java","ap","INSTANCE","SOURCEFILE_CONFIRMED"
"ap.m","L1GfxInstance.java","ap","INSTANCE","SOURCEFILE_CONFIRMED"
"ap.n","L1GuardInstance.java","ap","INSTANCE","SOURCEFILE_CONFIRMED"
"ap.o","L1GuardianInstance.java","ap","INSTANCE","SOURCEFILE_CONFIRMED"
"ap.p","L1HousekeeperInstance.java","ap","INSTANCE","SOURCEFILE_CONFIRMED"
"ap.q","L1ItemInstance.java","ap","INSTANCE","SOURCEFILE_CONFIRMED"
"ap.r","L1KeeperInstance.java","ap","INSTANCE","SOURCEFILE_CONFIRMED"
"ap.s","L1MonsterInstance.java","ap","INSTANCE","SOURCEFILE_CONFIRMED"
"ap.t","L1NpcInstance.java","ap","INSTANCE","SOURCEFILE_CONFIRMED"
"ap.u","L1PcInstance.java","ap","INSTANCE","SOURCEFILE_CONFIRMED"
"ap.v","L1PetInstance.java","ap","INSTANCE","SOURCEFILE_CONFIRMED"
"ap.w","L1QuestInstance.java","ap","INSTANCE","SOURCEFILE_CONFIRMED"
"ap.x","L1ScarecrowInstance.java","ap","INSTANCE","SOURCEFILE_CONFIRMED"
"ap.y","L1SignboardInstance.java","ap","INSTANCE","SOURCEFILE_CONFIRMED"
"ap.z","L1SummonInstance.java","ap","INSTANCE","SOURCEFILE_CONFIRMED"
"ap.aa","L1TowerInstance.java","ap","INSTANCE","SOURCEFILE_CONFIRMED"
"ap.ab","L1TrapInstance.java","ap","INSTANCE","SOURCEFILE_CONFIRMED"
"aq.a","L1AdenTelData.java","aq","GAME_MODEL","SOURCEFILE_CONFIRMED"
"aq.b","L1Alchemy.java","aq","GAME_MODEL","SOURCEFILE_CONFIRMED"
"aq.c","L1Attack.java","aq","GAME_MODEL","SOURCEFILE_CONFIRMED"
"aq.d","L1Buddy.java","aq","GAME_MODEL","SOURCEFILE_CONFIRMED"
"aq.e","L1CastleLocation.java","aq","GAME_MODEL","SOURCEFILE_CONFIRMED"
"aq.f","L1Character.java","aq","GAME_MODEL","SOURCEFILE_CONFIRMED"
"aq.g","L1Chat.java","aq","GAME_MODEL","SOURCEFILE_CONFIRMED"
"aq.h","L1ChatParty.java","aq","GAME_MODEL","SOURCEFILE_CONFIRMED"
"aq.i","L1Clan.java","aq","GAME_MODEL","SOURCEFILE_CONFIRMED"
"aq.j","L1Cooking.java","aq","GAME_MODEL","SOURCEFILE_CONFIRMED"
"aq.k","L1Craft.java","aq","GAME_MODEL","SOURCEFILE_CONFIRMED"
"aq.l","L1Dungeon.java","aq","GAME_MODEL","SOURCEFILE_CONFIRMED"
"aq.m","L1EquipmentSlot.java","aq","GAME_MODEL","SOURCEFILE_CONFIRMED"
"aq.n","L1ExcludingList.java","aq","GAME_MODEL","SOURCEFILE_CONFIRMED"
"aq.o","L1Getback.java","aq","GAME_MODEL","SOURCEFILE_CONFIRMED"
"aq.p","L1GuardianSoul.java","aq","GAME_MODEL","SOURCEFILE_CONFIRMED"
"aq.q","L1HateList.java","aq","GAME_MODEL","SOURCEFILE_CONFIRMED"
"aq.r","L1HouseLocation.java","aq","GAME_MODEL","SOURCEFILE_CONFIRMED"
"aq.s","L1ItemQuestBuff.java","aq","GAME_MODEL","SOURCEFILE_CONFIRMED"
"aq.t","L1Karma.java","aq","GAME_MODEL","SOURCEFILE_CONFIRMED"
"aq.u","L1Location.java","aq","GAME_MODEL","SOURCEFILE_CONFIRMED"
"aq.v","L1LoginCharList.java","aq","GAME_MODEL","SOURCEFILE_CONFIRMED"
"aq.w","L1Magic.java","aq","GAME_MODEL","SOURCEFILE_CONFIRMED"
"aq.x","L1Master.java","aq","GAME_MODEL","SOURCEFILE_CONFIRMED"
"aq.y","L1MobGroupInfo.java","aq","GAME_MODEL","SOURCEFILE_CONFIRMED"
"aq.z","L1NpcTalkData.java","aq","GAME_MODEL","SOURCEFILE_CONFIRMED"
"aq.aa","L1Object.java","aq","GAME_MODEL","SOURCEFILE_CONFIRMED"
"aq.ab","L1Paralysis.java","aq","GAME_MODEL","SOURCEFILE_CONFIRMED"
"aq.ac","L1Party.java","aq","GAME_MODEL","SOURCEFILE_CONFIRMED"
"aq.ad","L1PinkName.java","aq","GAME_MODEL","SOURCEFILE_CONFIRMED"
