level,item_381,item_850
L3,w_天m合成系統,N/A
L3,w_成就圖鑑收集設定,N/A
L3,w_成就圖鑑收集獎勵,N/A
L3,w_血盟技能,N/A
L3,w_血盟能量怪物,N/A
L3,w_血盟等級,N/A
L3,w_物品時間限制,N/A
L3,w_物品祝福系統,N/A
L3,w_物品掉落限制一,N/A
L3,w_物品掉落限制二,N/A
L3,w_物品掉落限制三,N/A
L3,w_城堡狀態師,N/A
L3,w_城堡狀態獎勵,N/A
L3,w_威望名稱自訂,N/A
L3,w_威望怪物,N/A
L3,w_威望設置,N/A
L3,w_狩獵怪物任務,N/A
L3,w_狩獵怪物任務_地圖,N/A
L3,w_狩獵怪物任務_系統,N/A
L3,w_限制物品丟地上,N/A
L3,w_限制物品丟怪寵,N/A
L3,w_道具升級,N/A
L3,w_道具升級系統,N/A
L3,w_道具狀態,N/A
L3,w_道具附魔系統,N/A
L3,w_道具爆氣系統,N/A
L3,w_鐘點怪物施放,N/A
L3,w_屬性強化系統,N/A
L4,伊娃紋樣屬性設定,N/A
L4,沙哈紋樣屬性設定,N/A
L4,帕格里奧紋樣屬性設定,N/A
L4,殷海薩紋樣屬性設定,N/A
L4,馬普勒紋樣屬性設定,N/A
L4,character_炫色_記錄資料,N/A
L4,w_炫色_素質設定,N/A
L4,w_裝備持續特效,N/A
L4,w_隨機能力炫色名稱,N/A
L4,w_隨機能力炫色防具,N/A
L4,w_隨機能力炫色武器,N/A
L4,w_變身卡片能力組合套卡,N/A
L4,w_變身卡片能力登入,N/A
L4,w_變身箭矢特效,N/A
L4,w_變身賦予狀態,N/A
L4,w_變身賦予狀態_道具,N/A
