skill_id,name,buff_duration,hp_consume,mp_consume,reuse_delay
171,"屬性之火",320,0,20,100
172,"暴風疾走",0,0,10,0
173,"污濁之水",64,0,20,1000
174,"精準射擊",64,0,15,3000
175,"烈焰之魂",128,0,30,300
176,"能量激發",960,0,30,100
177,"none",0,0,0,0
178,"none",0,0,0,0
179,"none",0,0,0,0
180,"none",0,0,0,0
181,"龍之護鎧",1800,12,0,10
182,"燃燒擊砍",60,6,0,2000
183,"護衛毀滅",32,20,0,1000
184,"岩漿噴吐",0,0,10,1000
185,"覺醒：安塔瑞斯",600,10,20,10
186,"血之渴望",300,30,0,10
187,"屠宰者",0,16,0,2000
188,"恐懼無助",16,12,0,1000
189,"岩漿之箭",0,0,5,10
190,"覺醒：法利昂",600,20,30,10
191,"致命身軀",300,50,0,1000
192,"奪命之雷",0,35,0,4000
193,"驚悚死神",32,20,0,1000
194,"暴龍之眼",0,10,10,500
195,"覺醒：巴拉卡斯",600,30,50,10
196,"撕裂護甲",30,0,10,0
197,"none",0,0,0,0
198,"none",0,0,0,0
199,"none",0,0,0,0
200,"none",0,0,0,0
201,"鏡像",1200,0,10,10
202,"混亂",8,10,15,3000
203,"粉碎能量",0,0,5,600
204,"幻覺：歐吉",128,0,10,1500
205,"立方：燃燒",20,0,30,5000
206,"專注",600,0,30,1000
207,"心靈破壞",0,15,20,3000
208,"骷髏毀壞",2,0,30,2000
209,"幻覺：巫妖",128,0,20,1500
210,"立方：地裂",20,0,35,5000
211,"耐力",600,0,25,1000
212,"幻想",5,25,30,3000
213,"隱身破壞者",12,0,10,1200
214,"幻覺：鑽石高崙",128,0,40,1500
215,"立方：衝擊",20,0,55,5000
216,"洞察",640,0,60,1000
217,"恐慌",64,30,30,4000
218,"降低負重",1800,0,40,10
219,"幻覺：化身",128,0,35,5000
220,"立方：和諧",20,0,55,5000
221,"none",0,0,0,0
222,"衝突強化",15,0,0,0
223,"none",0,0,0,0
224,"none",0,0,0,0
225,"咆哮",0,0,5,1000
226,"體能強化",300,0,10,2000
227,"無名怒火 (未開放)",0,0,0,7000
228,"拘束移動 ",6,0,0,5000
229,"戰斧投擲 ",6,0,5,3000
230,"亡命之徒",6,0,10,7000
231,"泰坦狂暴",2400,0,10,0
232,"none",0,0,0,0
233,"暗殺者",15,0,20,0
601,"粉碎",0,0,0,0
602,"狂暴",0,0,0,0
603,"迅猛雙斧",0,0,0,0
604,"none",0,0,0,0
605,"護甲身軀 ",0,0,0,0
606,"泰坦：岩石 ",0,0,0,0
607,"泰坦：子彈 ",0,0,0,0
608,"泰坦：魔法 ",0,0,0,0
609,"熾烈鬥志",3,0,0,0
